catalog,family,catalog_order,family_order,family_puzzle_order,puzzle_name,level_slug,puzzle_string,wrenches,best_track_count_display,best_track_cells,best_additional_segments,best_total_track_segments,submitted_solution_count,example_solution_string,example_solution_steps,example_solution_id,level_url,example_solution_url,thumbnail_url,catalog_url,status
Regular,Abbotsford,1,1,1,Red Line,redLine,hh002Oja3Giaa00,1,3+0,3,0,3,12927,003QQQ00,4,1,https://trainyard.ca/solutions/redLine,https://trainyard.ca/3,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/redLine_thumb.png,https://trainyard.ca/solutions,ok
Regular,Abbotsford,2,1,2,Grorange lines,grorangeLines,hh8OsC007GbaCOjv2Giav,1,5+0,5,0,5,3677,05J6J6J8QQ,4,1004,https://trainyard.ca/solutions/grorangeLines,https://trainyard.ca/2jW,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/grorangeLines_thumb.png,https://trainyard.ca/solutions,ok
Regular,Abbotsford,3,1,3,Yorple lines,yorpleLines,hhGcaJ5OBJ8Osh3Geah9Gbah3Oah8OjJ5GiaJ,1,12+0,12,0,12,2417,1QQQQQ06J3J06QQQQQ,6,110,https://trainyard.ca/solutions/yorpleLines,https://trainyard.ca/3Y,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/yorpleLines_thumb.png,https://trainyard.ca/solutions,ok
Regular,Abbotsford,4,1,4,Magical Trains,magicalTrains,hh3GeaJ07OjJ5GiaJ07OaJ,1,9+1,9,1,10,2029,0J6J4QQEQQ4J6J0,6,1828,https://trainyard.ca/solutions/magicalTrains,https://trainyard.ca/2AE,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/magicalTrains_thumb.png,https://trainyard.ca/solutions,ok
Regular,Abbotsford,5,1,5,The Red Corner,theRedCorner,hh8Osa0001Giaa,1,7+0,7,0,7,3470,05hQQv6J6J6h,8,4985,https://trainyard.ca/solutions/theRedCorner,https://trainyard.ca/3B3,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/theRedCorner_thumb.png,https://trainyard.ca/solutions,ok
Regular,Abbotsford,6,1,6,Purpablu,purpablu,hh8OBJ3GcaJ003Oso3Gbao,1,16+0,16,0,16,3258,7C5vhQQQQQo01Cv3CQo3ho,10,42137,https://trainyard.ca/solutions/purpablu,https://trainyard.ca/2fst,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/purpablu_thumb.png,https://trainyard.ca/solutions,ok
Regular,Brampton,7,2,1,A Rock in the Way,aRockInTheWay,hh3GeaC00R00OaC,1,7+0,7,0,7,1864,0hv6J6J5Co5J0,8,66722,https://trainyard.ca/solutions/aRockInTheWay,https://trainyard.ca/2phu,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/aRockInTheWay_thumb.png,https://trainyard.ca/solutions,ok
Regular,Brampton,8,2,2,Green Wally,greenWally,hh8GeaC1R1OsC4R6R6R6R6R,1,9+0,9,0,9,1754,2CQv4J1J3ho1ho00,10,118,https://trainyard.ca/solutions/greenWally,https://trainyard.ca/48,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/greenWally_thumb.png,https://trainyard.ca/solutions,ok
Regular,Brampton,9,2,3,Yellow Snake,yellowSnake,hh6OBh1RRRRRR7RRRRRR05Gcah,1,23+0,23,0,23,1112,CQQQQQ1J6hQQQQQv6J1CQQQQo1J6o,24,93974,https://trainyard.ca/solutions/yellowSnake,https://trainyard.ca/2xY8,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/yellowSnake_thumb.png,https://trainyard.ca/solutions,ok
Regular,Brampton,10,2,4,U-Turn,uTurn,hhOsJRGeaJ1GeaaROsa1R3R2R3R2R3R2R3R2R3R,1,24+2,24,2,26,854,7J1hQM1JJ3J1JJ3J1JJ3J1JJ3J1JhQQQjQo,18,880110,https://trainyard.ca/solutions/uTurn,https://trainyard.ca/72Eg,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/uTurn_thumb.png,https://trainyard.ca/solutions,ok
